pdb_id,lddt,cif
8ak2-assembly1,0.8962,v2_msa/8ak2-assembly1/predictions/8ak2-assembly1/seed_42/predictions/8ak2-assembly1_sample_0.cif
8akh-assembly1,0.9041,v2_msa/8akh-assembly1/predictions/8akh-assembly1/seed_42/predictions/8akh-assembly1_sample_0.cif
8amo-assembly1,0.8638,v2_msa/8amo-assembly1/predictions/8amo-assembly1/seed_42/predictions/8amo-assembly1_sample_0.cif
8arl-assembly1,0.8278,v2_msa/8arl-assembly1/predictions/8arl-assembly1/seed_42/predictions/8arl-assembly1_sample_0.cif
8axj-assembly1,0.8707,v2_msa/8axj-assembly1/predictions/8axj-assembly1/seed_42/predictions/8axj-assembly1_sample_0.cif
8azb-assembly1,0.8968,v2_msa/8azb-assembly1/predictions/8azb-assembly1/seed_42/predictions/8azb-assembly1_sample_0.cif
8b2e-assembly1,0.9289,v2_msa/8b2e-assembly1/predictions/8b2e-assembly1/seed_42/predictions/8b2e-assembly1_sample_0.cif
8b2g-assembly1,0.9305,v2_msa/8b2g-assembly1/predictions/8b2g-assembly1/seed_42/predictions/8b2g-assembly1_sample_0.cif
8b2s-assembly1,0.8684,v2_msa/8b2s-assembly1/predictions/8b2s-assembly1/seed_42/predictions/8b2s-assembly1_sample_0.cif
8b4u-assembly1,0.9129,v2_msa/8b4u-assembly1/predictions/8b4u-assembly1/seed_42/predictions/8b4u-assembly1_sample_0.cif
8b5w-assembly1,0.9086,v2_msa/8b5w-assembly1/predictions/8b5w-assembly1/seed_42/predictions/8b5w-assembly1_sample_0.cif
8b61-assembly1,0.8855,v2_msa/8b61-assembly1/predictions/8b61-assembly1/seed_42/predictions/8b61-assembly1_sample_0.cif
8b6a-assembly1,0.9325,v2_msa/8b6a-assembly1/predictions/8b6a-assembly1/seed_42/predictions/8b6a-assembly1_sample_0.cif
8b6e-assembly1,0.8411,v2_msa/8b6e-assembly1/predictions/8b6e-assembly1/seed_42/predictions/8b6e-assembly1_sample_0.cif
8baq-assembly1,0.8184,v2_msa/8baq-assembly1/predictions/8baq-assembly1/seed_42/predictions/8baq-assembly1_sample_0.cif
8bau-assembly1,0.8826,v2_msa/8bau-assembly1/predictions/8bau-assembly1/seed_42/predictions/8bau-assembly1_sample_0.cif
8bfy-assembly1,0.8417,v2_msa/8bfy-assembly1/predictions/8bfy-assembly1/seed_42/predictions/8bfy-assembly1_sample_0.cif
8bgb-assembly1,0.8842,v2_msa/8bgb-assembly1/predictions/8bgb-assembly1/seed_42/predictions/8bgb-assembly1_sample_0.cif
8bke-assembly1,0.8781,v2_msa/8bke-assembly1/predictions/8bke-assembly1/seed_42/predictions/8bke-assembly1_sample_0.cif
8bsb-assembly1,0.8536,v2_msa/8bsb-assembly1/predictions/8bsb-assembly1/seed_42/predictions/8bsb-assembly1_sample_0.cif
8c4d-assembly1,0.9318,v2_msa/8c4d-assembly1/predictions/8c4d-assembly1/seed_42/predictions/8c4d-assembly1_sample_0.cif
8c4y-assembly1,0.906,v2_msa/8c4y-assembly1/predictions/8c4y-assembly1/seed_42/predictions/8c4y-assembly1_sample_0.cif
8cba-assembly1,0.8561,v2_msa/8cba-assembly1/predictions/8cba-assembly1/seed_42/predictions/8cba-assembly1_sample_0.cif
8ci9-assembly1,0.847,v2_msa/8ci9-assembly1/predictions/8ci9-assembly1/seed_42/predictions/8ci9-assembly1_sample_0.cif
8cih-assembly1,0.8349,v2_msa/8cih-assembly1/predictions/8cih-assembly1/seed_42/predictions/8cih-assembly1_sample_0.cif
8cpk-assembly1,0.8973,v2_msa/8cpk-assembly1/predictions/8cpk-assembly1/seed_42/predictions/8cpk-assembly1_sample_0.cif
8cpn-assembly1,0.8689,v2_msa/8cpn-assembly1/predictions/8cpn-assembly1/seed_42/predictions/8cpn-assembly1_sample_0.cif
8d2z-assembly1,0.9015,v2_msa/8d2z-assembly1/predictions/8d2z-assembly1/seed_42/predictions/8d2z-assembly1_sample_0.cif
8daj-assembly1,0.9274,v2_msa/8daj-assembly1/predictions/8daj-assembly1/seed_42/predictions/8daj-assembly1_sample_0.cif
8dez-assembly1,0.8597,v2_msa/8dez-assembly1/predictions/8dez-assembly1/seed_42/predictions/8dez-assembly1_sample_0.cif
8dge-assembly1,0.8922,v2_msa/8dge-assembly1/predictions/8dge-assembly1/seed_42/predictions/8dge-assembly1_sample_0.cif
8dhj-assembly1,0.8667,v2_msa/8dhj-assembly1/predictions/8dhj-assembly1/seed_42/predictions/8dhj-assembly1_sample_0.cif
8dmu-assembly1,0.91,v2_msa/8dmu-assembly1/predictions/8dmu-assembly1/seed_42/predictions/8dmu-assembly1_sample_0.cif
8dp9-assembly1,0.7577,v2_msa/8dp9-assembly1/predictions/8dp9-assembly1/seed_42/predictions/8dp9-assembly1_sample_0.cif
8dqd-assembly1,0.8717,v2_msa/8dqd-assembly1/predictions/8dqd-assembly1/seed_42/predictions/8dqd-assembly1_sample_0.cif
8dx0-assembly1,0.828,v2_msa/8dx0-assembly1/predictions/8dx0-assembly1/seed_42/predictions/8dx0-assembly1_sample_0.cif
8e0r-assembly1,0.8739,v2_msa/8e0r-assembly1/predictions/8e0r-assembly1/seed_42/predictions/8e0r-assembly1_sample_0.cif
8e5h-assembly1,0.9214,v2_msa/8e5h-assembly1/predictions/8e5h-assembly1/seed_42/predictions/8e5h-assembly1_sample_0.cif
8eb9-assembly1,0.4984,v2_msa/8eb9-assembly1/predictions/8eb9-assembly1/seed_42/predictions/8eb9-assembly1_sample_0.cif
8ec3-assembly1,0.846,v2_msa/8ec3-assembly1/predictions/8ec3-assembly1/seed_42/predictions/8ec3-assembly1_sample_0.cif
8eo5-assembly1,0.9044,v2_msa/8eo5-assembly1/predictions/8eo5-assembly1/seed_42/predictions/8eo5-assembly1_sample_0.cif
8gmy-assembly1,0.7868,v2_msa/8gmy-assembly1/predictions/8gmy-assembly1/seed_42/predictions/8gmy-assembly1_sample_0.cif
8q8i-assembly1,0.9051,v2_msa/8q8i-assembly1/predictions/8q8i-assembly1/seed_42/predictions/8q8i-assembly1_sample_0.cif
8ycm-assembly1,0.8632,v2_msa/8ycm-assembly1/predictions/8ycm-assembly1/seed_42/predictions/8ycm-assembly1_sample_0.cif
