target_id,eval_set,n_sequences,shallow,seq_len,designed
8sxs_A,eval-test,6708,0,126,0
8gm7_A,eval-test,32,0,168,0
8t27_A,eval-test,6209,0,504,0
8t2j_A,eval-test,6729,0,339,0
8t41_A,eval-test,13910,0,859,0
8t4c_A,eval-test,4880,0,144,0
8t5t_A,eval-test,512,0,195,0
8t8k_A,eval-test,1907,0,183,0
8t93_A,eval-test,1484,0,216,0
8t9n_A,eval-test,2582,0,135,0
8te9_A,eval-test,8381,0,308,0
8tfo_A,eval-test,5086,0,390,0
8tfs_A,eval-test,3584,0,141,0
8hic_A,eval-test,9553,0,395,0
8ti5_A,eval-test,3516,0,131,0
8tjg_A,eval-test,10820,0,250,0
8tru_A,eval-test,8595,0,378,0
8tse_A,eval-test,4971,0,409,0
8tuk_A,eval-test,3921,0,290,0
8tw1_A,eval-test,1591,0,274,0
8tyh_A,eval-test,10315,0,333,0
8u0i_A,eval-test,1527,0,86,0
8u0x_A,eval-test,80,0,176,0
8u2f_A,eval-test,300,0,137,0
8ubs_A,eval-test,2985,0,150,0
8uds_A,eval-test,11031,0,147,0
8tls_A,eval-test,7269,0,116,0
8ujw_A,eval-test,2222,0,182,0
8uk7_A,eval-test,588,0,116,0
8upi_A,eval-test,12601,0,510,0
8ux2_A,eval-test,6,1,239,0
8v3m_A,eval-test,7681,0,500,0
8v6t_A,eval-test,1914,0,172,0
8vcw_A,eval-test,10700,0,327,0
8vh7_A,eval-test,10447,0,522,0
8vpo_A,eval-test,906,0,448,0
8vqk_A,eval-test,1650,0,401,0
8w6v_A,eval-test,10366,0,494,0
8w7p_A,eval-test,285,0,250,0
8wac_A,eval-test,92,0,119,0
8wae_A,eval-test,362,0,107,0
8wc1_A,eval-test,462,0,151,0
8wcf_A,eval-test,3874,0,160,0
8whj_A,eval-test,2295,0,243,0
8whn_A,eval-test,196,0,142,0
8wik_A,eval-test,4362,0,364,0
8wj5_A,eval-test,49,0,130,0
8kbl_A,eval-test,3427,0,104,0
8wnj_A,eval-test,17297,0,917,0
8wrx_A,eval-test,4,1,86,0
8wt3_A,eval-test,10656,0,134,0
8wim_A,eval-test,119,0,571,0
8x7c_A,eval-test,11327,0,350,0
8xf9_A,eval-test,3950,0,279,0
8xif_A,eval-test,108,0,223,0
8xjg_A,eval-test,13977,0,148,0
8xpk_A,eval-test,11678,0,254,0
8y9p_A,eval-test,11612,0,195,0
8ye0_A,eval-test,203,0,288,0
8wqn_A,eval-test,23,0,155,0
8yxk_A,eval-test,7150,0,151,0
8z4q_A,eval-test,1264,0,463,0
8hel_A,eval-test,98,0,68,0
8zqf_A,eval-test,124,0,197,0
9aue_A,eval-test,7920,0,415,0
9azz_A,eval-test,1739,0,174,0
9b1u_A,eval-test,2855,0,298,0
9b8e_A,eval-test,24,0,222,0
9bks_A,eval-test,7084,0,73,0
9bjx_A,eval-test,6047,0,368,0
9cfj_A,eval-test,2893,0,276,0
9crn_A,eval-test,4862,0,361,0
9d91_A,eval-test,10286,0,314,0
9etn_A,eval-test,11291,0,551,0
9evq_A,eval-test,341,0,214,0
9fce_A,eval-test,11504,0,208,0
9fgp_A,eval-test,1481,0,140,0
9f9u_A,eval-test,797,0,170,0
9fow_A,eval-test,303,0,123,0
9fym_A,eval-test,2208,0,322,0
9gso_A,eval-test,44,0,167,0
9ijc_A,eval-test,2263,0,281,0
9iuh_A,eval-test,10725,0,411,0
9j0v_A,eval-test,4194,0,246,0
9jq9_A,eval-test,4143,0,165,0
7pv5_A,eval-val,7024,0,76,0
7qp5_A,eval-val,760,0,241,0
7qsj_A,eval-val,4109,0,346,0
7t9r_A,eval-val,605,0,38,0
7tlh_A,eval-val,1571,0,124,0
7tjb_A,eval-val,2695,0,222,0
7uba_A,eval-val,825,0,187,0
7uk8_A,eval-val,6883,0,383,0
7ur2_A,eval-val,3520,0,160,0
7urp_A,eval-val,373,0,159,0
7uvg_A,eval-val,258,0,166,0
7uww_A,eval-val,2999,0,632,0
7v3o_A,eval-val,1763,0,277,0
7w15_A,eval-val,3269,0,293,0
7y3h_A,eval-val,2954,0,396,0
7wz5_A,eval-val,419,0,161,0
7wzm_A,eval-val,13687,0,458,0
7x4p_A,eval-val,2349,0,306,0
7x3h_A,eval-val,431,0,276,0
7x8l_A,eval-val,15750,0,511,0
7xcd_A,eval-val,22,0,178,0
7xg9_A,eval-val,6291,0,286,0
7xi5_A,eval-val,8344,0,57,0
7xp9_A,eval-val,14,0,76,0
8ycm_A,eval-val,1231,0,222,0
7xq4_A,eval-val,3205,0,489,0
7xrx_A,eval-val,4876,0,398,0
7xjr_A,eval-val,1824,0,306,0
7xyr_A,eval-val,13071,0,546,0
7xz3_A,eval-val,2326,0,273,0
7y4h_A,eval-val,3065,0,329,0
7y54_A,eval-val,6350,0,100,0
7y5m_A,eval-val,617,0,155,0
7y5r_A,eval-val,7175,0,105,0
7y8h_A,eval-val,7160,0,92,0
7y8i_A,eval-val,5975,0,82,0
7y5j_A,eval-val,6807,0,95,0
7yd4_A,eval-val,204,0,179,0
7yhr_A,eval-val,795,0,59,0
7ykm_A,eval-val,6843,0,81,0
7ylr_A,eval-val,13175,0,326,0
8gmy_A,eval-val,1377,0,219,0
7yug_A,eval-val,1016,0,117,0
7yyg_A,eval-val,467,0,275,0
7z65_A,eval-val,976,0,283,0
7znz_A,eval-val,14553,0,761,0
7zoi_A,eval-val,5108,0,124,0
7zs2_A,eval-val,10786,0,278,0
7zu3_A,eval-val,152,0,126,0
7zv1_A,eval-val,211,0,109,0
8adc_A,eval-val,37,0,207,0
8add_A,eval-val,425,0,212,0
8akh_A,eval-val,4818,0,321,0
8ak2_A,eval-val,9228,0,289,0
8arl_A,eval-val,750,0,232,0
8q8i_A,eval-val,4262,0,279,0
8au6_A,eval-val,1629,0,248,0
8axj_A,eval-val,8861,0,161,0
8azb_A,eval-val,10171,0,501,0
8b2e_A,eval-val,8124,0,141,0
8b2g_A,eval-val,9187,0,74,0
8b2s_A,eval-val,11374,0,240,0
8b4u_A,eval-val,7444,0,269,0
8b5w_A,eval-val,1782,0,346,0
8b61_A,eval-val,666,0,197,0
8b6a_A,eval-val,2190,0,175,0
8b6e_A,eval-val,1220,0,52,0
8baq_A,eval-val,1901,0,208,0
8bau_A,eval-val,8803,0,189,0
8bfy_A,eval-val,2829,0,393,0
8bgb_A,eval-val,6729,0,130,0
8bke_A,eval-val,1369,0,428,0
8bsb_A,eval-val,177,0,159,0
8bux_A,eval-val,468,0,289,0
8c4d_A,eval-val,1261,0,184,0
7xlz_A,eval-val,7530,0,241,0
8c4y_A,eval-val,5267,0,312,0
8cba_A,eval-val,124,0,195,0
8ci9_A,eval-val,4450,0,306,0
8cih_A,eval-val,853,0,188,0
8amo_A,eval-val,10164,0,385,0
8cpk_A,eval-val,17150,0,384,0
8cpn_A,eval-val,407,0,159,0
8d2z_A,eval-val,9977,0,306,0
8daj_A,eval-val,14853,0,302,0
8dez_A,eval-val,562,0,173,0
8dge_A,eval-val,10569,0,707,0
8dhj_A,eval-val,9218,0,236,0
8dmu_A,eval-val,1918,0,476,0
8dp9_A,eval-val,5320,0,133,0
8dqd_A,eval-val,8851,0,370,0
8dx0_A,eval-val,12803,0,139,0
8e0r_A,eval-val,1361,0,418,0
8e5h_A,eval-val,11649,0,368,0
8eb9_A,eval-val,25,0,89,0
8ec3_A,eval-val,26,0,155,0
8eo5_A,eval-val,7470,0,270,0
